15851220-6;Παραγεμισμένα ζυμαρικά;
15851230-9;Λαζάνια;
15851250-5;Κουσκούς;
15851290-7;Κονσερβοποιημένα ζυμαρικά;
15860000-4;Καφές, τσάι και συναφή προϊόντα;
15861000-1;Καφές;
15861100-2;Καβουρδισμένος καφές;
15861200-3;Καφές χωρίς καφεΐνη;
15862000-8;Υποκατάστατα του καφέ;
15863000-5;Τσάι;
15863100-6;Πράσινο τσάι;
15863200-7;Μαύρο τσάι;
15864000-2;Παρασκευάσματα με βάση το τσάι ή το ματέ;
15864100-3;Τσάι σε φακελάκια;
15865000-9;Αφεψήματα βοτάνων;
15870000-7;Καρυκεύματα και αρτύματα;
15871000-4;Ξίδι? σάλτσες? ανάμεικτα καρυκεύματα? άλευρο και χονδράλευρο σιναπιού? παρασκευασμένη μουστάρδα;
15871100-5;Ξίδι και υποκατάστατα του ξιδιού;
15871110-8;Ξίδι ή ισοδύναμο;
15871200-6;Σάλτσες, ανάμεικτα καρυκεύματα και αρτύματα;
15871210-9;Σάλτσα σόγιας;
15871230-5;Κέτσαπ;
15871250-1;Μουστάρδα;
15871260-4;Σάλτσες;
15871270-7;Ανάμεικτα καρυκεύματα;
15871273-8;Μαγιονέζα;
15871274-5;Αλειφόμενα παρασκευάσματα για σάντουιτς;
15871279-0;Τουρσί;
15872000-1;Αρωματικά βότανα και μπαχαρικά;
15872100-2;Πιπέρι;
15872200-3;Μπαχαρικά;
15872300-4;Αρωματικά βότανα;
15872400-5;Αλάτι;
15872500-6;Πιπερόριζα;
15880000-0;Ειδικά προϊόντα διατροφής;
15881000-7;Ομογενοποιημένα παρασκευάσματα τροφίμων;
15882000-4;Διαιτητικά προϊόντα;
15884000-8;Τροφές για μωρά;
15890000-3;Διάφορα προϊόντα διατροφής και ξηρά τροφή;
15891000-0;Σούπες και ζωμοί;
15891100-1;Κρεατόσουπες;
